title,rating
The Dark Knight,9
Inception,8.8
Dangal,8.8
Interstellar,8.6
Kimi no na wa,8.6
The Intouchables,8.6
The Prestige,8.5
The Departed,8.5
The Dark Knight Rises,8.5
Whiplash,8.5
The Lives of Others,8.5
Taare Zameen Par,8.5
Django Unchained,8.4
3 Idiots,8.4
WALL·E,8.4
Koe no katachi,8.4
La La Land,8.3
Bahubali: The Beginning,8.3
Inglourious Basterds,8.3
Jagten,8.3
Paint It Black,8.3
Up,8.3
Toy Story 3,8.3
Hacksaw Ridge,8.2
The Wolf of Wall Street,8.2
Room,8.2
Warrior,8.2
Pan's Labyrinth,8.2
Inside Out,8.2
Gran Torino,8.2
Incendies,8.2
El secreto de sus ojos,8.2
PK,8.2
Guardians of the Galaxy,8.1
Lion,8.1
Star Wars: Episode VII - The Force Awakens,8.1
Mad Max: Fury Road,8.1
Zootopia,8.1
The Avengers,8.1
Gone Girl,8.1
Prisoners,8.1
The Help,8.1
12 Years a Slave,8.1
Harry Potter and the Deathly Hallows: Part 2,8.1
No Country for Old Men,8.1
Shutter Island,8.1
Ah-ga-ssi,8.1
Twin Peaks: The Missing Pieces,8.1
Spotlight,8.1
Into the Wild,8.1
The Imitation Game,8.1
The Grand Budapest Hotel,8.1
There Will Be Blood,8.1
Rush,8.1
The Bourne Ultimatum,8.1
Mommy,8.1
Relatos salvajes,8.1
Hachi: A Dog's Tale,8.1
How to Train Your Dragon,8.1
Arrival,8
Deadpool,8
The Martian,8
The Revenant,8
Star Trek,8
X-Men: Days of Future Past,8
Casino Royale,8
Her,8
Forushande,8
The Perks of Being a Wallflower,8
Black Swan,8
Sing Street,8
Dallas Buyers Club,8
Slumdog Millionaire,8
District 9,8
Ratatouille,8
The Pursuit of Happyness,8
Blood Diamond,8
The King's Speech,8
Rogue One,7.9
Manchester by the Sea,7.9
Captain America: Civil War,7.9
Captain Fantastic,7.9
Contratiempo,7.9
Hot Fuzz,7.9
Nightcrawler,7.9
Kubo and the Two Strings,7.9
Edge of Tomorrow,7.9
Iron Man,7.9
Children of Men,7.9
Straight Outta Compton,7.9
The Hobbit: An Unexpected Journey,7.9
Hunt for the Wilderpeople,7.9
Mr. Nobody,7.9
The Hobbit: The Desolation of Smaug,7.9
"I, Daniel Blake",7.9
Moon,7.9
Boyhood,7.9
Life of Pi,7.9
In Bruges,7.9
The Fall,7.9
How to Train Your Dragon 2,7.9
Hidden Figures,7.8
Avatar,7.8
The Hateful Eight,7.8
The Big Short,7.8
Drive,7.8
X: First Class,7.8
Captain America: The Winter Soldier,7.8
The Girl with the Dragon Tattoo,7.8
Apocalypto,7.8
The Hangover,7.8
Birdman or (The Unexpected Virtue of Ignorance),7.8
Skyfall,7.8
La vie d'Adèle,7.8
Silver Linings Playbook,7.8
The Fault in Our Stars,7.8
About Time,7.8
Star Trek Into Darkness,7.8
The Lego Movie,7.8
Tangled,7.8
Taken,7.8
Atonement,7.8
The Curious Case of Benjamin Button,7.8
Big Hero 6,7.8
American Gangster,7.8
Moonrise Kingdom,7.8
Gravity,7.8
The Boy in the Striped Pyjamas,7.8
Wreck-It Ralph,7.8
Little Miss Sunshine,7.8
Män som hatar kvinnor,7.8
Dear Zindagi,7.8
The Fighter,7.8
Captain Phillips,7.8
Ma vie de Courgette,7.8
Fantastic Mr. Fox,7.8
Maudie,7.8
La migliore offerta,7.8
Changeling,7.8
Me and Earl and the Dying Girl,7.8
Lucky Number Slevin,7.8
Moana,7.7
Kingsman: The Secret Service,7.7
Hell or High Water,7.7
Ex Machina,7.7
300,7.7
Kick-Ass,7.7
Zodiac,7.7
The Exception,7.7
The Blind Side,7.7
The Social Network,7.7
Stardust,7.7
Midnight in Paris,7.7
The Theory of Everything,7.7
Zombieland,7.7
Despicable Me,7.7
Harry Potter and the Deathly Hallows: Part 1,7.7
Coraline,7.7
Argo,7.7
Perfetti sconosciuti,7.7
(500) Days of Summer,7.7
Eastern Promises,7.7
Gone Baby Gone,7.7
Seven Pounds,7.7
Mr. Church,7.7
En man som heter Ove,7.7
50/50,7.7
End of Watch,7.7
Doctor Strange,7.6
Watchmen,7.6
Superbad,7.6
Sicario,7.6
Dawn of the Planet of the Apes,7.6
Fury,7.6
Les Misérables,7.6
Rise of the Planet of the Apes,7.6
Sherlock Holmes,7.6
Creed,7.6
What We Do in the Shadows,7.6
Bridge of Spies,7.6
The imposible,7.6
The Town,7.6
The Hunger Games: Catching Fire,7.6
Moneyball,7.6
Toni Erdmann,7.6
The Hurt Locker,7.6
Hunger,7.6
La tortue rouge,7.6
The Illusionist,7.6
True Grit,7.6
Inside Man,7.6
127 Hours,7.6
Grindhouse,7.6
Kung Fu Panda,7.6
The Skin I Live In,7.6
Fantastic Beasts and Where to Find Them,7.5
Nocturnal Animals,7.5
Moonlight,7.5
Sully,7.5
Wakefield,7.5
A Monster Calls,7.5
The Jungle Book,7.5
Scott Pilgrim vs. the World,7.5
Frozen,7.5
Raw (II),7.5
Paterson,7.5
The Conjuring,7.5
Cloud Atlas,7.5
Busanhaeng,7.5
Lone Survivor,7.5
Harry Potter and the Order of the Phoenix,7.5
Brooklyn,7.5
Predestination,7.5
Sherlock Holmes: A Game of Shadows,7.5
Harry Potter and the Half-Blood Prince,7.5
Juno,7.5
The Assassination of Jesse James by the Coward Robert Ford,7.5
Source Code,7.5
Frantz,7.5
We Need to Talk About Kevin,7.5
Hugo,7.5
August Rush,7.5
Bacalaureat,7.5
42,7.5
Freedom Writers,7.5
Saving Mr. Banks,7.5
Babel,7.5
Goksung,7.5
Perfume: The Story of a Murderer,7.5
Selma,7.5
Me Before You,7.4
Patriots Day,7.4
The Accountant,7.4
Avengers: Age of Ultron,7.4
The Nice Guys,7.4
Finding Dory,7.4
Boyka: Undisputed IV,7.4
The Edge of Seventeen,7.4
"Crazy, Stupid, Love.",7.4
The Conjuring 2,7.4
Mission: Impossible - Rogue Nation,7.4
20th Century Women,7.4
The Hobbit: The Battle of the Five Armies,7.4
A Street Cat Named Bob,7.4
Lincoln,7.4
Looper,7.4
Demain tout commence,7.4
Southpaw,7.4
Zero Dark Thirty,7.4
Mission: Impossible - Ghost Protocol,7.4
